timestamp,total_blinks,blink_freq_10s,gaze_x,gaze_y,gaze_displacement,pupil_size_px,pupil_trend
2026-06-04 00:27:01,0,0.0,1062,911,,23.42,Decreasing
2026-06-04 00:27:02,1,0.492,959,857,116.3,13.12,Decreasing
2026-06-04 00:27:03,2,0.659,1044,606,265.0,18.94,Stable
2026-06-04 00:27:04,2,0.492,1086,705,107.54,36.29,Increasing
2026-06-04 00:27:05,2,0.394,1011,685,77.62,31.77,Decreasing
2026-06-04 00:27:06,2,0.325,854,599,179.01,27.04,Decreasing
2026-06-04 00:27:08,2,0.277,1072,630,220.19,26.95,Decreasing
2026-06-04 00:27:09,2,0.242,1108,660,46.86,32.36,Increasing
2026-06-04 00:27:10,2,0.214,1104,667,8.06,31.92,Increasing
2026-06-04 00:27:11,2,0.192,1060,673,44.41,29.17,Increasing
2026-06-04 00:27:12,2,0.0,1062,697,24.08,,Stable
2026-06-04 00:27:13,2,0.0,1074,678,22.47,38.2,Increasing
2026-06-04 00:27:14,2,0.0,1047,677,27.02,24.99,Decreasing
2026-06-04 00:27:15,2,0.0,1194,600,165.95,43.96,Increasing
2026-06-04 00:27:16,2,0.0,1038,662,167.87,35.03,Increasing
2026-06-04 00:27:17,2,0.0,1015,656,23.77,24.25,Decreasing
2026-06-04 00:27:18,2,0.0,1068,645,54.13,28.32,Decreasing
2026-06-04 00:27:19,2,0.0,1084,646,16.03,27.06,Decreasing
2026-06-04 00:27:20,2,0.0,1045,659,41.11,23.46,Decreasing
2026-06-04 00:27:21,2,0.0,1021,690,39.2,32.18,Increasing
2026-06-04 00:27:22,2,0.0,1058,707,40.72,38.18,Increasing
2026-06-04 00:27:23,2,0.0,1048,643,64.78,21.96,Decreasing
2026-06-04 00:27:24,2,0.0,859,665,190.28,33.73,Increasing
2026-06-04 00:27:25,2,0.0,965,619,115.55,23.02,Decreasing
2026-06-04 00:27:26,2,0.0,1003,634,40.85,28.2,Increasing
2026-06-04 00:27:27,2,0.0,1069,668,74.24,22.55,Decreasing
2026-06-04 00:27:28,3,0.139,1134,682,66.49,32.32,Increasing
2026-06-04 00:27:29,4,0.242,1155,694,24.19,29.3,Increasing
