ID,Mean_Pupil_Size,Blink_Freq,Gaze_Disp,Label
1,21.25133,0.03333,2.70950,1
1,21.01233,0.23333,1.85581,1
1,20.64066,0.4,3.64545,1
1,20.09033,0.4,1.34716,1
1,20.708,0.56666,3.36084,1
1,20.79633,0.33333,0.78749,1
1,20.846,0.46666,1.45874,1
1,20.785,0.4,1.77414,1
1,20.88133,0.4,1.62274,1
1,20.761,0.36666,2.28012,1
1,20.60533,0.36666,2.05162,1
1,20.25333,0.5,4.56464,1
1,21.11966,0.46666,3.09102,1
1,21.493,0.53333,1.99418,1
1,21.269,0.36666,2.74066,1
1,21.15333,0.46666,2.35787,1
1,21.363,0.63333,4.25837,1
1,21.79066,0.23333,1.48323,1
1,21.44533,0.46666,1.04808,1
1,21.56533,0.36666,3.71764,1
1,21.11266,0.6,1.79868,1
1,21.122,0.6,2.27649,1
1,21.303,0.6,2.82192,1
1,21.691,0.5,5.80484,1
