ID,Mean_Pupil_Size,Blink_Freq,Gaze_Disp,Label
2,4.07214,0.23333,15.02083,0
2,3.5737,0.16666,12.34764,0
2,3.2055,0.13333,6.83378,0
2,2.505,0.2,4.50512,0
2,2.86375,0.1,8.23115,0
2,3.0725,0.1,14.31683,0
2,2.99692,0.2,4.17717,0
2,2.56894,0.13333,4.36772,0
2,2.28384,0.13333,4.84425,0
2,2.415,0.13333,1.82949,0
2,2.28666,0.13333,3.51649,0
2,2.562,0.1,8.46272,0
2,2.3985,0.13333,5.67010,0
2,1.36857,0.16666,7.03743,0
2,1.9675,0.16666,13.10243,0
2,2.3625,0.06666,6.82309,0
2,2.57958,0.06666,6.95033,0
2,2.33666,0.13333,4.78702,0
2,2.67,0.1,3.67688,0
2,2.12875,0.06666,3.20850,0
2,1.90583,0.03333,3.05299,0
2,2.1175,0.03333,6.26039,0
2,2.30588,0.13333,2.19247,0
